x, y
0.03980099502487561, 0.069815668202765
0.0845771144278607, 0.1435483870967742
0.12437810945273631, 0.21267281105990785
0.1616915422885572, 0.2817972350230415
0.20398009950248758, 0.3440092165898617
0.24378109452736318, 0.40852534562211984
0.28358208955223885, 0.4684331797235023
0.32587064676616917, 0.5283410138248847
0.3656716417910448, 0.5836405529953916
0.4054726368159204, 0.6389400921658986
0.44776119402985076, 0.68963133640553
0.48507462686567165, 0.7380184331797235
0.527363184079602, 0.786405529953917
0.5671641791044776, 0.830184331797235
0.6069651741293532, 0.8739631336405531
0.6467661691542288, 0.917741935483871
0.6865671641791045, 0.9569124423963133
0.7263681592039801, 0.9960829493087557
0.7661691542288558, 1.0306451612903227
0.8059701492537313, 1.0629032258064517
0.8432835820895522, 1.0951612903225807
0.8855721393034826, 1.125115207373272
0.9253731343283582, 1.1527649769585253
0.9651741293532339, 1.1804147465437789
1.0049751243781095, 1.2034562211981565
1.0472636815920398, 1.2241935483870967
1.0870646766169154, 1.242626728110599
1.1218905472636815, 1.2610599078341014
1.164179104477612, 1.2771889400921659
1.2064676616915424, 1.2887096774193547
1.2462686567164178, 1.3025345622119815
1.2885572139303483, 1.3094470046082949
1.3258706467661692, 1.318663594470046
1.3681592039800994, 1.327880184331797
1.4054726368159205, 1.3324884792626728
1.445273631840796, 1.3347926267281105
1.4875621890547264, 1.3394009216589862
1.527363184079602, 1.3440092165898616
1.564676616915423, 1.3440092165898616
1.6044776119402986, 1.3440092165898616
1.6467661691542288, 1.3463133640552996
1.6865671641791045, 1.3463133640552996
1.7263681592039801, 1.3486175115207373
1.7661691542288558, 1.3486175115207373
1.8059701492537312, 1.3486175115207373
1.8482587064676617, 1.350921658986175
1.8855721393034826, 1.350921658986175
1.9253731343283582, 1.350921658986175
1.9676616915422884, 1.350921658986175
2.0074626865671643, 1.350921658986175
